time_seconds,/Tag Providers/AD/default/UR/Joint_0_Temp,/Tag Providers/AD/default/UR/Joint_0_Velocity
1738855426,40.0625,0.890809523
1738859026,44.0625,0.870808523
1738862626,43.0625,0.910809523
1738866226,45.0625,0.930800523
1738869826,42.0625,0.940802523
1738873426,41.0625,0.950803523
1738877026,40.0625,0.890809523
1738880626,44.0625,0.870808523
1738884226,43.0625,0.910809523
1738887826,45.0625,0.990804523
1738891426,42.0625,0.890809523
1738895026,44.0625,0.870808523
1738898626,40.0625,0.004996938
1738902226,44.0625,0.004996938
1738905826,43.0625,-0.066181891
1738909426,45.0625,-0.066181891
1738913026,42.0625,-0.066181891
1738916626,41.0625,0.001941492
1738920226,40.0625,0.001941492
1738923826,44.0625,0.001941492
1738927426,43.0625,0.039433114
1738931026,45.0625,0.890809523
1738934626,42.0625,0.870808523
1738938226,40.0625,0.910809523
1738941826,44.0625,0.930800523
1738945426,43.0625,0.940802523
1738949026,45.0625,0.950803523
1738952626,42.0625,0.890809523
1738956226,41.0625,0.870808523
1738959826,40.0625,0.910809523
1738963426,44.0625,0.990804523
1738967026,43.0625,0.890809523
1738970626,45.0625,0.870808523
1738974226,42.0625,0.890809523
1738977826,43.0625,0.870808523
1738981426,45.0625,0.004996938
1738985026,42.0625,0.004996938
1738988626,44.0625,-0.066181891
1738992226,40.0625,-0.066181891
1738995826,44.0625,-0.066181891
1738999426,43.0625,0.001941492
1739003026,45.0625,0.001941492
1739006626,42.0625,0.001941492
1739010226,41.0625,0.039433114
1739013826,40.0625,0.890809523
1739017426,44.0625,0.870808523
1739021026,43.0625,0.910809523
1739024626,45.0625,0.930800523
1739028226,42.0625,0.940802523
1739031826,40.0625,0.950803523
1739035426,44.0625,0.890809523
1739039026,43.0625,0.870808523
1739042626,42.0625,0.910809523
1739046226,41.0625,0.990804523
1739049826,40.0625,0.890809523
1739053426,44.0625,0.870808523
1739057026,43.0625,0.890809523
1739060626,45.0625,0.870808523
1739064226,42.0625,0.004996938
1739067826,40.0625,0.004996938
1739071426,44.0625,-0.066181891
1739075026,43.0625,-0.066181891
1739078626,45.0625,-0.066181891
1739082226,42.0625,0.001941492
1739085826,41.0625,0.001941492
1739089426,40.0625,0.001941492
1739093026,44.0625,0.039433114
1739096626,43.0625,0.890809523
1739100226,45.0625,0.870808523
1739103826,42.0625,0.910809523
1739107426,43.0625,0.930800523
1739111026,45.0625,0.940802523
1739114626,42.0625,0.950803523
1739118226,44.0625,0.890809523
1739121826,40.0625,0.870808523
1739125426,44.0625,0.910809523
1739129026,43.0625,0.990804523
1739132626,45.0625,-0.004956732
1739136226,42.0625,-0.254957944
1739139826,41.0625,-0.254957944
1739143426,40.0625,-0.254957944
1739147026,44.0625,0.890809523
1739150626,43.0625,0.870808523
1739154226,45.0625,0.910809523
1739157826,42.0625,0.930800523
1739161426,40.0625,0.940802523
1739165026,44.0625,0.950803523
1739168626,43.0625,0.890809523
1739172226,45.0625,0.870808523
1739175826,42.0625,0.910809523
1739179426,41.0625,0.990804523
1739183026,40.0625,0.890809523
1739186626,44.0625,0.870808523
1739190226,43.0625,0.004996938
1739193826,45.0625,0.004996938
1739197426,42.0625,-0.066181891
1739201026,43.0625,-0.066181891
1739204626,45.0625,-0.066181891
1739208226,42.0625,0.001941492
1739211826,44.0625,0.001941492
1739215426,40.0625,0.001941492
1739219026,44.0625,0.039433114
1739222626,43.0625,0.890809523
1739226226,45.0625,0.870808523
1739229826,42.0625,0.910809523
1739233426,41.0625,0.930800523
1739237026,40.0625,0.940802523
1739240626,44.0625,0.950803523
1739244226,43.0625,0.890809523
1739247826,45.0625,0.870808523
1739251426,42.0625,0.910809523
1739255026,40.0625,0.990804523
1739258626,44.0625,0.890809523
1739262226,43.0625,0.870808523
1739265826,45.0625,0.890809523
1739269426,42.0625,0.870808523
1739273026,41.0625,0.004996938
1739276626,40.0625,0.004996938
1739280226,44.0625,-0.066181891
1739283826,43.0625,-0.066181891
1739287426,45.0625,-0.066181891
1739291026,42.0625,0.001941492
1739294626,43.0625,0.001941492
1739298226,45.0625,0.001941492
1739301826,42.0625,0.039433114
1739305426,44.0625,0.890809523
1739309026,40.0625,0.870808523
1739312626,44.0625,0.910809523
1739316226,43.0625,0.930800523
1739319826,45.0625,0.940802523
1739323426,42.0625,0.950803523
1739327026,41.0625,0.890809523
1739330626,40.0625,0.870808523
1739334226,44.0625,0.910809523
1739337826,43.0625,0.990804523
1739341426,45.0625,0.890809523
1739345026,42.0625,0.870808523
1739348626,40.0625,0.890809523
1739352226,44.0625,0.870808523
1739355826,43.0625,0.004996938
1739359426,45.0625,0.004996938
1739363026,42.0625,-0.066181891
1739366626,41.0625,-0.066181891
1739370226,40.0625,-0.066181891
1739373826,44.0625,0.001941492
1739377426,43.0625,0.001941492
1739381026,45.0625,0.001941492
1739384626,42.0625,0.039433114
1739388226,43.0625,0.890809523
1739391826,45.0625,0.870808523
1739395426,42.0625,0.910809523
1739399026,44.0625,0.930800523
1739402626,40.0625,0.940802523
1739406226,44.0625,0.950803523
1739409826,43.0625,0.890809523
1739413426,45.0625,0.870808523
1739417026,42.0625,0.910809523
1739420626,41.0625,0.990804523
1739424226,40.0625,-0.004956732
1739427826,44.0625,-0.254957944
1739431426,43.0625,-0.254957944
1739435026,45.0625,-0.254957944
1739438626,42.0625,0.890809523
1739442226,40.0625,0.870808523
1739445826,44.0625,0.910809523
1739449426,43.0625,0.930800523
1739453026,45.0625,0.940802523
1739456626,42.0625,0.950803523
1739460226,41.0625,0.890809523
1739463826,40.0625,0.870808523
1739467426,44.0625,0.910809523
1739471026,43.0625,0.990804523
1739474626,45.0625,0.890809523
1739478226,42.0625,0.870808523
1739481826,43.0625,0.004996938
1739485426,45.0625,0.004996938
1739489026,42.0625,-0.066181891
1739492626,44.0625,-0.066181891
1739496226,40.0625,-0.066181891
1739499826,44.0625,0.001941492
1739503426,43.0625,0.001941492
1739507026,45.0625,0.001941492
1739510626,42.0625,0.039433114
1739514226,41.0625,0.890809523
1739517826,40.0625,0.870808523
1739521426,44.0625,0.910809523
1739525026,43.0625,0.930800523
1739528626,45.0625,0.940802523
1739532226,42.0625,0.950803523
1739535826,40.0625,0.890809523
1739539426,44.0625,0.870808523
1739543026,43.0625,0.910809523
1739546626,45.0625,0.990804523
1739550226,42.0625,0.890809523
1739553826,41.0625,0.870808523
1739557426,40.0625,0.890809523
1739561026,44.0625,0.870808523
1739564626,43.0625,0.004996938
1739568226,45.0625,0.004996938
1739571826,42.0625,-0.066181891
1739575426,43.0625,-0.066181891
1739579026,45.0625,-0.066181891
1739582626,42.0625,0.001941492
1739586226,44.0625,0.001941492
1739589826,40.0625,0.001941492
1739593426,44.0625,0.039433114
1739597026,43.0625,0.890809523
1739600626,45.0625,0.870808523
